asset_id,timestamp,price_usd,volume_usd,market_cap_usd
bitcoin,2026-02-12 15:25:57.325762+00:00,67806.0,42132836916,1350518874611
ethereum,2026-02-12 15:25:57.325762+00:00,1973.92,17531488916,237594058854
binancecoin,2026-02-12 15:25:57.325762+00:00,613.35,955604456,83400684483
solana,2026-02-12 15:25:57.325762+00:00,80.94,3848356747,45848042167
